Year,GDP_Growth,Inflation
2000, 3.84 , 4.01 
2001, 4.82 , 3.78 
2002, 3.80 , 4.30 
2003, 7.86 , 3.81 
2004, 7.92 , 3.77 
2005, 7.92 , 4.25 
2006, 8.06 , 5.80 
2007, 7.66 , 6.37 
2008, 3.09 , 8.35 
2009, 7.86 , 10.88 
2010, 8.50 , 11.99 
2011, 5.24 , 8.91 
2012, 5.46 , 9.48 
2013, 6.39 , 10.02 
2014, 7.41 , 6.67 
2015, 8.00 , 4.91 
2016, 8.26 , 4.95 
2017, 6.80 , 3.33 
2018, 6.45 , 3.94 
2019, 3.87 , 3.73 
2020, -5.78 , 6.62 
2021, 9.69 , 5.13 
2022, 7.61 , 6.70 
2023, 9.19 , 5.65 
2024, 6.48 , 4.95 
