Date,Price
01-08-2025,8416
01-07-2025,8672
01-06-2025,9187
01-05-2025,8562
01-04-2025,7943
01-03-2025,7725
01-02-2025,7096
01-01-2025,8049
01-12-2024,8937
01-11-2024,8985
01-10-2024,8986
01-09-2024,9207
01-08-2024,9169
01-07-2024,8947
01-06-2024,8576
01-05-2024,7727
01-04-2024,7861
01-03-2024,7030
01-02-2024,7352
01-01-2024,7435
01-12-2023,7132
01-11-2023,6540
01-10-2023,5818
01-09-2023,5883
01-08-2023,5619
01-07-2023,5295
01-06-2023,4900
01-05-2023,4625
01-04-2023,4436
01-03-2023,4098
01-02-2023,4127
01-01-2023,4297
01-12-2022,4342
01-11-2022,4461
01-10-2022,4310
01-09-2022,4266
01-08-2022,4399
01-07-2022,4206
01-06-2022,3849
01-05-2022,4194
01-04-2022,4719
01-03-2022,4801
01-02-2022,4515
01-01-2022,5162
01-12-2021,5331
01-11-2021,5079
01-10-2021,5251
01-09-2021,5341
01-08-2021,5135
01-07-2021,5293
01-06-2021,4891
01-05-2021,4621
01-04-2021,4283
01-03-2021,4055
01-02-2021,4089
01-01-2021,3657
01-12-2020,3535
01-11-2020,3253
01-10-2020,2889
01-09-2020,2911
01-08-2020,2696
01-07-2020,2420
01-06-2020,2178
01-05-2020,1879
01-04-2020,1925
01-03-2020,1743
01-02-2020,2698
01-01-2020,3020
01-12-2019,2813
01-11-2019,2795
01-10-2019,2765
01-09-2019,2680
01-08-2019,2625
01-07-2019,2657
01-06-2019,2994
01-05-2019,3146
01-04-2019,3142
01-03-2019,3257
01-02-2019,2872
